Id,Predicted
0,2039623.3992063499
1,2600708.939942901
2,763280.2367826616
3,991128.1879037634
4,20070312.844444443
5,952090.6849206347
6,1071514.444795784
7,5911045.750595238
8,2366452.183333333
9,5119182.103968253
10,2903764.515367965
11,5871606.726587301
12,2328468.209523809
13,2891650.4146825396
14,2231536.4444444445
15,1684924.2887769481
16,2345263.3428571434
17,2178083.757538228
18,2763410.3063644688
19,1597464.7500000002
20,1572777.08015873
21,3091639.184126984
22,1293564.6984126985
23,1821058.7365273023
24,1489339.9992063486
25,1708562.3787573536
26,1261947.3115079366
27,11138474.396825397
28,1141705.7015873017
29,2584444.5488095237
30,57591306.91587304
31,2429328.5404761904
32,3283822.368253969
33,734028.9325396825
34,1341609.120165945
35,2013582.4924603177
36,1422199.9795940176
37,2825882.6134920632
38,8411099.320238095
39,2612950.816228234
40,1308004.0908730156
41,915238.9607142855
42,64223326.11904762
43,2580871.710317461
44,907302.1960317461
45,1492874.0105850033
46,1858564.8710317456
47,1923985.3904761905
48,3526799.372222222
49,1445775.440476191
50,1819276.7384920635
51,2736117.156746032
52,2354841.3920634915
53,1054398.6595238093
54,1313620.5896825395
55,2739936.126373626
56,1946551.738354672
57,907627.2785714286
58,2447930.5123015875
59,4735401.856868132
60,1575666.1776418027
61,1819664.9214855107
62,1006271.2499999999
63,2089456.1416666668
64,1226260.8182539684
65,3955821.962301588
66,1244493.0619047617
67,1499851.649603175
68,5291140.523651933
69,1516674.8916666664
70,5609216.7825702075
71,1112364.101883432
72,858594.8488095237
73,1398670.8873015875
74,1565392.8567460317
75,2728249.0095238094
76,4768771.5230158735
77,1422849.2045805505
78,1102474.6460317462
79,2665673.97081807
80,13500099.220634926
81,7869491.5666666655
82,807975.3785714287
83,4756922.782539682
84,886069.5882478633
85,13020257.243894992
86,6965185.752380954
87,3302517.1019119774
88,6649182.499603174
89,2462644.8599206354
90,2885343.452777778
91,1344674.8726190478
92,1154083.468253968
93,1054874.5634920637
94,1798325.664285714
95,2850606.1257326007
96,4590059.91468254
97,1197258.6749999998
98,1328266.7817460317
99,1910945.9112487645
100,1460646.1492063492
101,1417468.3849206355
102,3489958.279761905
103,2739763.0880952384
104,1163906.2571428572
105,878819.4091269842
106,5123439.608333332
107,819877.3162698414
108,1278045.1785714289
109,2477242.046825397
110,1474360.6793650794
111,4075921.516666666
112,3174411.5387085136
113,2068380.7541181038
114,1943493.3966810969
115,2469240.3869769117
116,2884537.0952380956
117,2868368.1285714274
118,1647116.566666667
119,2472114.5529942284
120,7203092.063095238
121,2575275.9214285715
122,1629233.1126984132
123,1891451.3714285714
124,10776694.312698413
125,3202789.12063492
126,1802329.742857143
127,4983726.488217338
128,1615807.9464285716
129,3570849.97936508
130,6891074.841269842
131,730688.0238095238
132,1246357.3144688646
133,1366311.8690476187
134,9226900.24606782
135,1379997.457936508
136,2150723.5742063485
137,5282460.739718615
138,978988.6523809525
139,941019.8039682538
140,1643050.362301587
141,3341767.8095238097
142,2961654.074786324
143,2419797.496428571
144,1436001.9261904764
145,1841602.5521672773
146,780157.178174603
147,3628443.869047619
148,2014852.3346472972
149,3536677.675466201
150,3673850.732539682
151,1607084.556990232
152,2201466.7499999995
153,847213.7253968253
154,1844339.078571429
155,1864996.9189081923
156,2113102.4388888897
157,1300606.0238095238
158,1907573.861507936
159,1514505.7440476187
160,811575.2809523811
161,1534349.4
162,1720811.369778071
163,2819730.25
164,24910533.459126983
165,2557251.214285714
166,1933682.1126984125
167,2232231.4682539687
168,1606861.9190476192
169,7836378.856746032
170,1628480.1900183146
171,3514368.8603174603
172,1090911.9242063493
173,6910975.728968257
174,1182249.288888889
175,3333077.8095238097
176,2016745.270238096
177,1445012.972466423
178,3582214.770634921
179,1769149.667063492
180,1469996.1428571427
181,1576953.1402694527
182,781916.0380952379
183,1767472.9932539684
184,1686532.6869047617
185,1450830.0462490553
186,1757631.3835858589
187,2262629.5551587306
188,1836315.078174603
189,13994333.619444445
190,3824178.8900109474
191,1176943.5767189937
192,1732962.701984127
193,1334955.134920635
194,1593177.8134920637
195,2495472.901984127
196,5350127.20436508
197,4264727.439285714
198,4457062.273015873
199,2985033.963347764
200,3140292.246428571
201,1045977.8575396825
202,764608.7908730156
203,4185113.330158731
204,948331.9289682539
205,11207045.084920635
206,1414071.8912698415
207,8965863.961904762
208,2599858.141666667
209,10620917.792460315
210,5298439.195238096
211,1639057.7876657613
212,1685328.2089743593
213,1067857.7908730155
214,5438026.309126984
215,4221176.641666667
216,7674679.32579365
217,1955055.3108543416
218,1974529.0126984126
219,1089973.2011904763
220,3167044.195238096
221,1918756.0139546169
222,1845538.2345238102
223,1923980.7079365074
224,7786919.22142857
225,1289586.5055555555
226,1570962.4777777777
227,1816893.0035714284
228,1037934.718253968
229,2542407.166666666
230,1535592.2712454211
231,2039623.3992063499
232,2763891.803174603
233,2625994.109920635
234,12221239.39761905
235,2013098.3525844684
236,2449003.407142857
237,2996566.0674603162
238,1613497.8384920638
239,2099012.2892999845
240,1747663.7992063495
241,1310102.9857142856
242,1041435.9802398126
243,958971.3773809522
244,2166315.8947330453
245,2020172.0334859586
246,1626906.5206349208
247,809318.2726495728
248,1020180.2277777776
249,1383845.1119047618
250,1903634.2486291484
251,2248611.1971001215
252,1349848.2785714287
253,1414688.7896825396
254,1767305.2880952382
255,728374.473015873
256,1895484.2186507937
257,1425248.008730159
258,757280.5321428572
259,17590344.50674603
260,10394884.557936506
261,3872527.33015873
262,1093438.1559523812
263,4216581.152164502
264,2878298.2066378063
265,788187.2230158729
266,1984867.8716311464
267,1422199.9795940176
268,780527.6031746031
269,2420008.338919414
270,2575275.9214285715
271,1646049.5702380955
272,2914125.5007936503
273,1387220.853571428
274,1316051.53482906
275,2878298.2066378063
276,1795231.229675196
277,4393301.264682539
278,1715726.4471139968
279,2547804.5452380953
280,2012377.911145302
